Alciston, Country: United Kingdom, WOEID: 10528, Administrative:, England (Country), East Sussex (County), Localities:, Alciston, Postal BN26 6 (Postal Code), Location (lat/lon):, 50.834221, 0.141970, Bounding Box:, NE 50.843578, 0.169350, SW 50.818642, 0.129850, , 
Rotherfield, Country: United Kingdom, WOEID: 33588, Administrative:, England (Country), East Sussex (County), Localities:, Rotherfield, Postal TN6 3 (Postal Code), Location (lat/lon):, 51.045151, 0.220060, Bounding Box:, NE 51.072910, 0.228950, SW 51.035969, 0.202710, , 
Rushers Cross, Country: United Kingdom, WOEID: 33784, Administrative:, England (Country), East Sussex (County), Localities:, Rushers Cross, Postal TN20 6 (Postal Code), Location (lat/lon):, 51.033791, 0.283120, Bounding Box:, NE 51.039249, 0.296130, SW 51.030151, 0.281670, , 
Rushlake Green, Country: United Kingdom, WOEID: 33789, Administrative:, England (Country), East Sussex (County), Localities:, Rushlake Green, Postal TN21 9 (Postal Code), Location (lat/lon):, 50.942871, 0.314740, Bounding Box:, NE 50.945572, 0.320860, SW 50.936470, 0.306440, , 
Salters Green, Country: United Kingdom, WOEID: 33916, Administrative:, England (Country), East Sussex (County), Localities:, Salters Green, Postal TN20 6 (Postal Code), Location (lat/lon):, 51.024101, 0.230400, Bounding Box:, NE 51.028648, 0.237630, SW 51.019550, 0.223170, , 
Sandy Cross, Country: United Kingdom, WOEID: 34033, Administrative:, England (Country), East Sussex (County), Localities:, Sandy Cross, Postal TN21 8 (Postal Code), Location (lat/lon):, 50.960190, 0.253560, Bounding Box:, NE 50.963848, 0.264920, SW 50.954750, 0.250480, , 
Sayerland, Country: United Kingdom, WOEID: 34128, Administrative:, England (Country), East Sussex (County), Localities:, Sayerland, Postal BN26 6 (Postal Code), Location (lat/lon):, 50.829830, 0.243790, Bounding Box:, NE 50.833649, 0.251700, SW 50.824551, 0.237300, , 
Scrag Oak, Country: United Kingdom, WOEID: 34240, Administrative:, England (Country), East Sussex (County), Localities:, Scrag Oak, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.046139, 0.332260, Bounding Box:, NE 51.047352, 0.342630, SW 51.038250, 0.328170, , 
Selmeston, Country: United Kingdom, WOEID: 34356, Administrative:, England (Country), East Sussex (County), Localities:, Selmeston, Postal BN26 6 (Postal Code), Location (lat/lon):, 50.844620, 0.145150, Bounding Box:, NE 50.846920, 0.149680, SW 50.837818, 0.135280, , 
Sheffield Park, Country: United Kingdom, WOEID: 34504, Administrative:, England (Country), East Sussex (County), Localities:, Sheffield Park, Postal TN22 3 (Postal Code), Location (lat/lon):, 51.003399, 0.010250, Bounding Box:, NE 51.007950, 0.017470, SW 50.998852, 0.003030, , 
Shortgate, Country: United Kingdom, WOEID: 34718, Administrative:, England (Country), East Sussex (County), Localities:, Shortgate, Postal BN8 6 (Postal Code), Location (lat/lon):, 50.916481, 0.123140, Bounding Box:, NE 50.921398, 0.130700, SW 50.912300, 0.116280, , 
Shovers Green, Country: United Kingdom, WOEID: 34749, Administrative:, England (Country), East Sussex (County), Localities:, Shovers Green, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.052181, 0.351210, Bounding Box:, NE 51.056110, 0.359070, SW 51.047009, 0.344610, , 
Sparrows Green, Country: United Kingdom, WOEID: 35458, Administrative:, England (Country), East Sussex (County), Localities:, Sparrows Green, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.067009, 0.333270, Bounding Box:, NE 51.074478, 0.344920, SW 51.059528, 0.321620, , 
Splaynes Green, Country: United Kingdom, WOEID: 35506, Administrative:, England (Country), East Sussex (County), Localities:, Splaynes Green, Postal TN22 3 (Postal Code), Location (lat/lon):, 51.000469, 0.038230, Bounding Box:, NE 51.003948, 0.046620, SW 50.994850, 0.032180, , 
St. Johns, Country: United Kingdom, WOEID: 35673, Administrative:, England (Country), East Sussex (County), Localities:, St. Johns, Postal TN6 1 (Postal Code), Location (lat/lon):, 51.063419, 0.150990, Bounding Box:, NE 51.067451, 0.155530, SW 51.058350, 0.141070, , 
Stone Cross, Country: United Kingdom, WOEID: 36280, Administrative:, England (Country), East Sussex (County), Localities:, Stone Cross, Postal BN24 5 (Postal Code), Location (lat/lon):, 50.816711, 0.293230, Bounding Box:, NE 50.821621, 0.298760, SW 50.812519, 0.284380, , 
Stone Cross, Country: United Kingdom, WOEID: 36281, Administrative:, England (Country), East Sussex (County), Localities:, Stone Cross, Postal TN6 3 (Postal Code), Location (lat/lon):, 51.042149, 0.157190, Bounding Box:, NE 51.046700, 0.164440, SW 51.037601, 0.149980, , 
Summerhill, Country: United Kingdom, WOEID: 36603, Administrative:, England (Country), East Sussex (County), Localities:, Summerhill, Postal BN26 6 (Postal Code), Location (lat/lon):, 50.844990, 0.249250, Bounding Box:, NE 50.849350, 0.257400, SW 50.840248, 0.243000, , 
Three Cups, Country: United Kingdom, WOEID: 37449, Administrative:, England (Country), East Sussex (County), Localities:, Three Cups, Postal TN21 9 (Postal Code), Location (lat/lon):, 50.957321, 0.328130, Bounding Box:, NE 50.961910, 0.334580, SW 50.952808, 0.320140, , 
Tidebrook, Country: United Kingdom, WOEID: 37565, Administrative:, England (Country), East Sussex (County), Localities:, Tidebrook, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.042240, 0.297700, Bounding Box:, NE 51.049332, 0.307040, SW 51.040230, 0.292580, , 
Town Row, Country: United Kingdom, WOEID: 37886, Administrative:, England (Country), East Sussex (County), Localities:, Town Row, Postal TN6 3 (Postal Code), Location (lat/lon):, 51.050709, 0.233010, Bounding Box:, NE 51.054081, 0.241460, SW 51.044708, 0.227000, , 
Trolliloes, Country: United Kingdom, WOEID: 38253, Administrative:, England (Country), East Sussex (County), Localities:, Trolliloes, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.909550, 0.313660, Bounding Box:, NE 50.913250, 0.324510, SW 50.904148, 0.310090, , 
Turners Green, Country: United Kingdom, WOEID: 38353, Administrative:, England (Country), East Sussex (County), Localities:, Turners Green, Postal TN21 9 (Postal Code), Location (lat/lon):, 50.952808, 0.325590, Bounding Box:, NE 50.957298, 0.334480, SW 50.948200, 0.320040, , 
Uckfield, Country: United Kingdom, WOEID: 38491, Administrative:, England (Country), East Sussex (County), Localities:, Uckfield, Postal TN22 (Postal Code), Location (lat/lon):, 50.970329, 0.097840, Bounding Box:, NE 51.067329, 0.210930, SW 50.917759, -0.017500, , 
Upper Dicker, Country: United Kingdom, WOEID: 38647, Administrative:, England (Country), East Sussex (County), Localities:, Upper Dicker, Postal BN27 3 (Postal Code), Location (lat/lon):, 50.871941, 0.213480, Bounding Box:, NE 50.876492, 0.220670, SW 50.867390, 0.206270, , 
Upper Hartfield, Country: United Kingdom, WOEID: 38673, Administrative:, England (Country), East Sussex (County), Localities:, Upper Hartfield, Postal TN7 4 (Postal Code), Location (lat/lon):, 51.088051, 0.098970, Bounding Box:, NE 51.119400, 0.108520, SW 51.075722, 0.068950, , 
Vicarage Green, Country: United Kingdom, WOEID: 38885, Administrative:, England (Country), East Sussex (County), Localities:, Vicarage Green, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.063301, 0.345000, Bounding Box:, NE 51.067848, 0.352230, SW 51.058750, 0.337770, , 
Vines Cross, Country: United Kingdom, WOEID: 38898, Administrative:, England (Country), East Sussex (County), Localities:, Vines Cross, Postal TN21 9 (Postal Code), Location (lat/lon):, 50.937359, 0.266430, Bounding Box:, NE 50.942661, 0.274210, SW 50.933559, 0.259790, , 
Wadhurst, Country: United Kingdom, WOEID: 38932, Administrative:, England (Country), East Sussex (County), Localities:, Wadhurst, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.059441, 0.335790, Bounding Box:, NE 51.098331, 0.460690, SW 51.010979, 0.275800, , 
Waldron, Country: United Kingdom, WOEID: 38977, Administrative:, England (Country), East Sussex (County), Localities:, Waldron, Postal TN21 0 (Postal Code), Location (lat/lon):, 50.951691, 0.204420, Bounding Box:, NE 50.956230, 0.211640, SW 50.947128, 0.197200, , 
Warbleton, Country: United Kingdom, WOEID: 39139, Administrative:, England (Country), East Sussex (County), Localities:, Warbleton, Postal TN21 9 (Postal Code), Location (lat/lon):, 50.939892, 0.290300, Bounding Box:, NE 50.952671, 0.303130, SW 50.918400, 0.278470, , 
Wartling, Country: United Kingdom, WOEID: 39222, Administrative:, England (Country), East Sussex (County), Localities:, Wartling, Postal BN27 1 (Postal Code), Location (lat/lon):, 50.858978, 0.354130, Bounding Box:, NE 50.863338, 0.361460, SW 50.854240, 0.347060, , 
Wellbrook, Country: United Kingdom, WOEID: 39440, Administrative:, England (Country), East Sussex (County), Localities:, Wellbrook, Postal TN20 6 (Postal Code), Location (lat/lon):, 51.014881, 0.245370, Bounding Box:, NE 51.018051, 0.253520, SW 51.008949, 0.239080, , 
West Dean, Country: United Kingdom, WOEID: 39616, Administrative:, England (Country), East Sussex (County), Localities:, West Dean, Postal BN25 4 (Postal Code), Location (lat/lon):, 50.775959, 0.160320, Bounding Box:, NE 50.780640, 0.169100, SW 50.771542, 0.154720, , 
Westham, Country: United Kingdom, WOEID: 39933, Administrative:, England (Country), East Sussex (County), Localities:, Westham, Postal BN24 (Postal Code), Location (lat/lon):, 50.818272, 0.319140, Bounding Box:, NE 50.837059, 0.336040, SW 50.786449, 0.309250, , 
Whitesmith, Country: United Kingdom, WOEID: 40278, Administrative:, England (Country), East Sussex (County), Localities:, Whitesmith, Postal BN8 6 (Postal Code), Location (lat/lon):, 50.900101, 0.174210, Bounding Box:, NE 50.908150, 0.178600, SW 50.899052, 0.164180, , 
Willingdon, Country: United Kingdom, WOEID: 40530, Administrative:, England (Country), East Sussex (County), Localities:, Willingdon, Postal BN20 9 (Postal Code), Location (lat/lon):, 50.808769, 0.249150, Bounding Box:, NE 50.812370, 0.267730, SW 50.792469, 0.240860, , 
Wilmington, Country: United Kingdom, WOEID: 40564, Administrative:, England (Country), East Sussex (County), Localities:, Wilmington, Postal BN26 5 (Postal Code), Location (lat/lon):, 50.820412, 0.192810, Bounding Box:, NE 50.824360, 0.199580, SW 50.815262, 0.185200, , 
Windmill Hill, Country: United Kingdom, WOEID: 40628, Administrative:, England (Country), East Sussex (County), Localities:, Windmill Hill, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.886139, 0.339830, Bounding Box:, NE 50.898750, 0.354960, SW 50.860619, 0.324420, , 
Withyham, Country: United Kingdom, WOEID: 40804, Administrative:, England (Country), East Sussex (County), Localities:, Withyham, Postal TN7 4 (Postal Code), Location (lat/lon):, 51.100971, 0.132780, Bounding Box:, NE 51.122822, 0.163410, SW 51.089119, 0.121480, , 
Woods Green, Country: United Kingdom, WOEID: 41010, Administrative:, England (Country), East Sussex (County), Localities:, Woods Green, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.077332, 0.338680, Bounding Box:, NE 51.081150, 0.348330, SW 51.072048, 0.333870, , 
Wych Cross, Country: United Kingdom, WOEID: 41250, Administrative:, England (Country), East Sussex (County), Localities:, Wych Cross, Location (lat/lon):, 51.070320, 0.024770, Bounding Box:, NE 51.072960, 0.032120, SW 51.063862, 0.017660, , 
Lower Willingdon, Country: United Kingdom, WOEID: 42449, Administrative:, England (Country), East Sussex (County), Localities:, Lower Willingdon, Postal BN20 9 (Postal Code), Location (lat/lon):, 50.808998, 0.250400, Bounding Box:, NE 50.820019, 0.270510, SW 50.799019, 0.242350, , 
Stunts Green, Country: United Kingdom, WOEID: 20093492, Administrative:, England (Country), East Sussex (County), Localities:, Stunts Green, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.897701, 0.298590, Bounding Box:, NE 50.902248, 0.305800, SW 50.893150, 0.291380, , 
New Town, Country: United Kingdom, WOEID: 20093495, Administrative:, England (Country), East Sussex (County), Localities:, New Town, Postal TN22 5 (Postal Code), Location (lat/lon):, 50.964901, 0.102170, Bounding Box:, NE 50.971321, 0.109320, SW 50.962219, 0.094880, , 
Muddles Green, Country: United Kingdom, WOEID: 20093497, Administrative:, England (Country), East Sussex (County), Localities:, Muddles Green, Postal BN8 6 (Postal Code), Location (lat/lon):, 50.899502, 0.195380, Bounding Box:, NE 50.903969, 0.202940, SW 50.894871, 0.188520, , 
Argos Hill, Country: United Kingdom, WOEID: 20093499, Administrative:, England (Country), East Sussex (County), Localities:, Argos Hill, Postal TN20 6 (Postal Code), Location (lat/lon):, 51.033001, 0.239000, Bounding Box:, NE 51.036301, 0.249450, SW 51.027199, 0.234990, , 
Steel Cross, Country: United Kingdom, WOEID: 20093500, Administrative:, England (Country), East Sussex (County), Localities:, Steel Cross, Postal TN6 2 (Postal Code), Location (lat/lon):, 51.063099, 0.182090, Bounding Box:, NE 51.066971, 0.189370, SW 51.057869, 0.174910, , 
Jarvis Brook, Country: United Kingdom, WOEID: 20093501, Administrative:, England (Country), East Sussex (County), Localities:, Jarvis Brook, Postal TN6 2 (Postal Code), Location (lat/lon):, 51.049000, 0.186680, Bounding Box:, NE 51.053299, 0.193890, SW 51.044201, 0.179430, , 
Hooe Common, Country: United Kingdom, WOEID: 20093502, Administrative:, England (Country), East Sussex (County), Localities:, Hooe Common, Postal TN33 9 (Postal Code), Location (lat/lon):, 50.858669, 0.398080, Bounding Box:, NE 50.867760, 0.412480, SW 50.849579, 0.383680, , 
Burlow, Country: United Kingdom, WOEID: 20093503, Administrative:, England (Country), East Sussex (County), Localities:, Burlow, Postal TN21 0 (Postal Code), Location (lat/lon):, 50.928082, 0.239560, Bounding Box:, NE 50.932629, 0.246770, SW 50.923531, 0.232350, , 
Bodle Street Green, Country: United Kingdom, WOEID: 20093504, Administrative:, England (Country), East Sussex (County), Localities:, Bodle Street Green, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.907379, 0.346130, Bounding Box:, NE 50.910950, 0.353590, SW 50.901852, 0.339170, , 
Birling Gap, Country: United Kingdom, WOEID: 20093507, Administrative:, England (Country), East Sussex (County), Localities:, Birling Gap, Postal BN20 0 (Postal Code), Location (lat/lon):, 50.743221, 0.202150, Bounding Box:, NE 50.747768, 0.209330, SW 50.738670, 0.194970, , 
BN26 5 (Postal Code):, Country: United Kingdom, WOEID: 26345051, Administrative:, England (Country), East Sussex (County), Postal BN26 5 (Postal Code), Location (lat/lon):, 50.807522, 0.181300, Bounding Box:, NE 50.836990, 0.256330, SW 50.778049, 0.106270, , 
BN26 6 (Postal Code):, Country: United Kingdom, WOEID: 26345052, Administrative:, England (Country), East Sussex (County), Postal BN26 6 (Postal Code), Location (lat/lon):, 50.841228, 0.194570, Bounding Box:, NE 50.868660, 0.288480, SW 50.813801, 0.100670, , 
TN20 6 (Postal Code):, Country: United Kingdom, WOEID: 26352350, Administrative:, England (Country), East Sussex (County), Postal TN20 6 (Postal Code), Location (lat/lon):, 51.016102, 0.257130, Bounding Box:, NE 51.158470, 0.334170, SW 50.983280, 0.180510, , 
TN21 0 (Postal Code):, Country: United Kingdom, WOEID: 26352351, Administrative:, England (Country), East Sussex (County), Postal TN21 0 (Postal Code), Location (lat/lon):, 50.945190, 0.220350, Bounding Box:, NE 50.998241, 0.264000, SW 50.892151, 0.176700, , 
TN21 8 (Postal Code):, Country: United Kingdom, WOEID: 26352352, Administrative:, England (Country), East Sussex (County), Postal TN21 8 (Postal Code), Location (lat/lon):, 50.977669, 0.286470, Bounding Box:, NE 51.006050, 0.332100, SW 50.949291, 0.240850, , 
TN22 1 (Postal Code):, Country: United Kingdom, WOEID: 26352354, Administrative:, England (Country), East Sussex (County), Postal TN22 1 (Postal Code), Location (lat/lon):, 50.974850, 0.093160, Bounding Box:, NE 50.988140, 0.120930, SW 50.961460, 0.073360, , 
TN6 1 (Postal Code):, Country: United Kingdom, WOEID: 26352412, Administrative:, England (Country), East Sussex (County), Postal TN6 1 (Postal Code), Location (lat/lon):, 51.071339, 0.142650, Bounding Box:, NE 51.099689, 0.183490, SW 51.042980, 0.101820, , 
TN6 2 (Postal Code):, Country: United Kingdom, WOEID: 26352413, Administrative:, England (Country), East Sussex (County), Postal TN6 2 (Postal Code), Location (lat/lon):, 51.061871, 0.181700, Bounding Box:, NE 51.082989, 0.204410, SW 51.040749, 0.159000, , 
TN6 3 (Postal Code):, Country: United Kingdom, WOEID: 26352414, Administrative:, England (Country), East Sussex (County), Postal TN6 3 (Postal Code), Location (lat/lon):, 51.046829, 0.207890, Bounding Box:, NE 51.081280, 0.295040, SW 51.012379, 0.120740, , 
TN7 4 (Postal Code):, Country: United Kingdom, WOEID: 26352415, Administrative:, England (Country), East Sussex (County), Postal TN7 4 (Postal Code), Location (lat/lon):, 51.095631, 0.106490, Bounding Box:, NE 51.132099, 0.168410, SW 51.059151, 0.044570, , 
BN27 (Postal Code):, Country: United Kingdom, WOEID: 26786506, Administrative:, England (Country), East Sussex (County), Postal BN27 (Postal Code), Location (lat/lon):, 50.878609, 0.267200, Bounding Box:, NE 50.931992, 0.389960, SW 50.825230, 0.144440, , 
TN7 (Postal Code):, Country: United Kingdom, WOEID: 26788727, Administrative:, England (Country), East Sussex (County), Postal TN7 (Postal Code), Location (lat/lon):, 51.095631, 0.106490, Bounding Box:, NE 51.132099, 0.168410, SW 51.059151, 0.044570, , 
TN6 9 (Postal Code):, Country: United Kingdom, WOEID: 26823482, Administrative:, England (Country), East Sussex (County), Postal TN6 9 (Postal Code), Location (lat/lon):, 51.058830, 0.158900, Bounding Box:, NE 51.060421, 0.163800, SW 51.056740, 0.157110, , 
Nash Street, Country: United Kingdom, WOEID: 28835358, Administrative:, England (Country), East Sussex (County), Localities:, Nash Street, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.891830, 0.201910, Bounding Box:, NE 50.900879, 0.216300, SW 50.882702, 0.187480, , 
Beachlands, Country: United Kingdom, WOEID: 28835906, Administrative:, England (Country), East Sussex (County), Localities:, Beachlands, Postal BN24 6 (Postal Code), Location (lat/lon):, 50.819660, 0.366290, Bounding Box:, NE 50.828751, 0.380680, SW 50.810570, 0.351900, , 
Holmes Hill
